MatchID,InningsNo,DeliveryID,bowler,striker,non_striker,ExtraNB,Overstep,Beamer,Fielder,Bouncer,MultiBounce,KnockStumps,OutsidePitch,WrongCall
2020-09-20-delhi-capitals-kings-xi-punjab,1st innings,19.7,CJ Jordan,MP Stoinis,K Rabada,1,1,,,,,,,
2020-09-20-delhi-capitals-kings-xi-punjab,2nd innings,1.3,MM Sharma,KL Rahul,MA Agarwal,1,1,,,,,,,
2020-09-21-royal-challengers-bangalore-sunrisers-hyderabad,1st innings,4.5,V Shankar,AJ Finch,D Padikkal,1,1,,,,,,,
2020-09-21-royal-challengers-bangalore-sunrisers-hyderabad,1st innings,4.6,V Shankar,AJ Finch,D Padikkal,1,1,,,,,,,
2020-09-22-rajasthan-royals-chennai-super-kings,1st innings,7.6,PP Chawla,SV Samson,SPD Smith,1,1,,,,,,,
2020-09-22-rajasthan-royals-chennai-super-kings,1st innings,19.3,L Ngidi,JC Archer,TK Curran,1,1,,,,,,,
2020-09-22-rajasthan-royals-chennai-super-kings,1st innings,19.4,L Ngidi,JC Archer,TK Curran,1,1,,,,,,,
2020-09-22-rajasthan-royals-chennai-super-kings,2nd innings,13.3,TK Curran,KM Jadhav,F du Plessis,1,0,1,,,,,,
2020-09-23-mumbai-indians-kolkata-knight-riders,1st innings,9.3,Kuldeep Yadav,SA Yadav,RG Sharma,1,1,,,,,,,
2020-09-24-kings-xi-punjab-royal-challengers-bangalore,1st innings,9.4,UT Yadav,KL Rahul,N Pooran,1,0,1,,,,,,
2020-09-26-sunrisers-hyderabad-kolkata-knight-riders,2nd innings,2.5,B Kumar,Shubman Gill,N Rana,1,1,,,,,,,
2020-09-27-kings-xi-punjab-rajasthan-royals,1st innings,4.6,AS Rajpoot,MA Agarwal,KL Rahul,1,1,,,,,,,
2020-10-02-sunrisers-hyderabad-chennai-super-kings,1st innings,16.4,SM Curran,PK Garg,Abhishek Sharma,1,0,1,,,,,,
2020-10-02-sunrisers-hyderabad-chennai-super-kings,1st innings,19.1,SN Thakur,PK Garg,Abdul Samad,1,1,,,,,,,
2020-10-03-delhi-capitals-kolkata-knight-riders,2nd innings,8.4,A Mishra,AD Russell,N Rana,1,1,,,,,,,
2020-10-03-delhi-capitals-kolkata-knight-riders,2nd innings,14.7,HV Patel,EJG Morgan,RA Tripathi,1,0,1,,,,,,
2020-10-03-rajasthan-royals-royal-challengers-bangalore,1st innings,19.2,NA Saini,R Tewatia,JC Archer,1,0,1,,,,,,
2020-10-04-mumbai-indians-sunrisers-hyderabad,1st innings,12.1,S Kaul,Ishan Kishan,Q de Kock,1,1,,,,,,,
2020-10-05-delhi-capitals-royal-challengers-bangalore,1st innings,14.5,NA Saini,MP Stoinis,RR Pant,1,0,1,,,,,,
2020-10-05-delhi-capitals-royal-challengers-bangalore,1st innings,18.1,Mohammed Siraj,RR Pant,MP Stoinis,1,0,1,,,,,,
2020-10-06-mumbai-indians-rajasthan-royals,1st innings,18.1,JC Archer,HH Pandya,SA Yadav,1,0,1,,,,,,
2020-10-06-mumbai-indians-rajasthan-royals,1st innings,19.2,AS Rajpoot,HH Pandya,SA Yadav,1,1,,,,,,,
2020-10-08-sunrisers-hyderabad-kings-xi-punjab,1st innings,11.5,Arshdeep Singh,DA Warner,JM Bairstow,1,1,,,,,,,
2020-10-09-delhi-capitals-rajasthan-royals,1st innings,2.3,VR Aaron,SS Iyer,PP Shaw,1,1,,,,,,,
2020-10-09-delhi-capitals-rajasthan-royals,1st innings,18.5,AJ Tye,AR Patel,HV Patel,1,0,1,,,,,,
2020-10-09-delhi-capitals-rajasthan-royals,2nd innings,14.3,K Rabada,JC Archer,R Tewatia,1,1,,,,,,,
2020-10-10-royal-challengers-bangalore-chennai-super-kings,1st innings,18.2,SN Thakur,V Kohli,S Dube,1,0,1,,,,,,
